NO,Department,Degree,Course Number,Section,Course Title,Instructor,Classification,Course Type,Theory/Lab,Course Category,Course Fields,Course Areas,Track,Degree Classification,Grade Method,Credit,Theo,Lab,Code Share,Delivered in English,Day/Time/Class Room,Prerequisite Course,Remarks
141,School of Undergraduate Studies,ALL,LS403,01,Principles of Development - Principles of Development,"Baek, Myung In, Yu, Seong-Woon, Kwak, June Myoung",Advanced compulsory course,Course Study,Theory,Advanced,Major,Track,,Bachelor of Science,Grade,3.0,3.0,0.0,N,Y,"Tue10:30-12:00(E7 - L22), Thu10:30-12:00(E7 - L22)",,
142,School of Undergraduate Studies,ALL,LS406,01,Biomedical Engineering - Biomedical Engineering,Lee Kwang,Advanced compulsory course,Course Study,Theory,Advanced,Major,Track,,"Bachelor of Science, Bachelor of Engineering",Grade,3.0,3.0,0.0,N,Y,Fri09:00-12:00(E7 - 235),,
143,School of Undergraduate Studies,ALL,LS407a,01,Human Physiology - Human Physiology,"Lee, Jae Min, KIM, EUN-KYOUNG",Advanced compulsory course,Course Study,Theory,Advanced,Major,Track,,Bachelor of Science,Grade,3.0,3.0,0.0,N,Y,"Mon09:00-10:30(E4 - 406), Wed09:00-10:30(E4 - 406)",,
144,School of Undergraduate Studies,ALL,LS410,01,Microbiology - Microbiology,"Kim, Yoo Ri, Chan Chung",Advanced compulsory course,Course Study,Theory,Advanced,Major,Track,,Bachelor of Science,Grade,3.0,3.0,0.0,N,Y,"Mon14:30-16:00(E7 - 229), Wed14:30-16:00(E7 - 229)",,
145,School of Undergraduate Studies,ALL,LS411,01,Introduction to Computational Brain Science - Introduction to Computational Brain Science,"Yu, Woo Kyung, Mean-Hwan Kim",Advanced compulsory course,Course Study,Theory,Advanced,Major,Track,,Bachelor of Science,Grade,3.0,3.0,0.0,N,Y,"Mon10:30-12:00(E4 - 113), Wed10:30-12:00(E4 - 113)",,
146,School of Undergraduate Studies,ALL,LS412,01,Neurobiology of Disease - Neurobiology of Disease,"Lee, Sung Bae",Advanced compulsory course,Course Study,Theory,Advanced,Major,Track,,Bachelor of Science,Grade,3.0,3.0,0.0,N,N,"Tue09:00-10:30(E7 - 235), Thu09:00-10:30(E7 - 235)",,
147,School of Undergraduate Studies,ALL,MECH201,01,Solid Mechanics - Solid Mechanics,"Kyung In, Jang",Advanced compulsory course,Course Study,Theory,Advanced,Major,Track,,Bachelor of Engineering,Grade,3.0,3.0,0.0,N,Y,"Mon13:00-14:30(E7 - L31), Wed13:00-14:30(E7 - L31)",,
148,School of Undergraduate Studies,ALL,MECH301,01,Robots for Human - Robots for Human,"Kim, Hoe Joon, Seongmin Lee, Joon-Hyuk Park, Nam, Kanghyun, Sohyun Jung, Giseop Kim",Advanced compulsory course,Course Study,Theory,Advanced,Major,Track,,Bachelor of Engineering,Grade,3.0,3.0,0.0,N,Y,Fri13:00-16:00(E7 - L21),,
149,School of Undergraduate Studies,ALL,MECH306,01,Engineering Vibration - Engineering Vibration,"Lim, Yong Seob",Advanced compulsory course,Course Study,Theory,Advanced,Major,Track,,Bachelor of Engineering,Grade,3.0,3.0,0.0,N,Y,"Mon10:30-12:00(E7 - 235), Wed10:30-12:00(E7 - 235)",(MECH203) 동역학(공),
150,School of Undergraduate Studies,ALL,MECH309,01,Introduction to Control Engineering (Lecture) - Introduction to Control Engineering (Lecture),"Park, Suk Ho",Advanced compulsory course,Course Study,Theory,Advanced,Major,Major Advanced,,Bachelor of Engineering,Grade,3.0,3.0,0.0,N,Y,"Tue10:30-12:00(E7 - L20), Thu10:30-12:00(E7 - L20)",,
151,School of Undergraduate Studies,ALL,MECH311,01,Fluid dynamics - Fluid dynamics,Sohyun Jung,Advanced compulsory course,Course Study,Theory,Advanced,Major,Track,,Bachelor of Engineering,Grade,3.0,3.0,0.0,N,Y,Wed13:00-16:00(E7 - 241),,
152,School of Undergraduate Studies,ALL,MECH313,01,Electronics for Robotics - Electronics for Robotics,"Park, Kyungseo",Advanced compulsory course,Course Study,Theory,Advanced,Major,Track,,Bachelor of Engineering,Grade,3.0,3.0,0.0,N,Y,"Mon16:00-17:30(E5 - 217), Wed16:00-17:30(E5 - 217)",(BE205) 회로이론과 계측법(이론),
153,School of Undergraduate Studies,ALL,MECH401,01,Robot Dynamics and Control - Robot Dynamics and Control,"Hwang, Min Ho",Advanced compulsory course,Course Study,Theory,Advanced,Major,Track,,Bachelor of Engineering,Grade,3.0,3.0,0.0,N,Y,"Tue10:30-12:00(E7 - G01), Thu10:30-12:00(E7 - G01)","(MECH203) 동역학(공), (MECH309) 자동제어시스템(공)",
154,School of Undergraduate Studies,ALL,MECH402,01,Micro/Nano Engineering - Micro/Nano Engineering,"Lee, Jae Hong",Advanced compulsory course,Course Study,Theory,Advanced,Major,Track,,Bachelor of Engineering,Grade,3.0,3.0,0.0,N,Y,"Tue13:00-14:30(E7 - 229), Thu13:00-14:30(E7 - 229)","(MECH201) 고체역학 (공), (MECH311) 유체역학 (공)",
155,School of Undergraduate Studies,ALL,MECH405,01,Fundamental of Heat Transfer - Fundamental of Heat Transfer,"Choi, Gyeung Ho",Advanced compulsory course,Course Study,Theory,Advanced,Major,Track,,Bachelor of Engineering,Grade,3.0,3.0,0.0,N,Y,"Tue09:00-10:30(E7 - L20), Thu09:00-10:30(E7 - L20)",(MECH204) 기계열역학 (공),
156,School of Undergraduate Studies,ALL,MECH407,01,Introduction to  Mobile System - Introduction to  Mobile System,Seongmin Lee,Advanced compulsory course,Course Study,Theory,Advanced,Major,Track,,Bachelor of Engineering,Grade,3.0,3.0,0.0,N,Y,"Tue16:30-18:00(E5 - 217), Thu16:30-18:00(E5 - 217)",,신규개설
157,School of Undergraduate Studies,ALL,MSE305a,01,Introduction to materials science & engineeringⅠ - Introduction to materials science & engineeringⅠ,"Lee, Ju Hyuck",Advanced compulsory course,Course Study,Theory,Advanced,Major,Track,,"Bachelor of Science, Bachelor of Engineering",Grade,3.0,3.0,0.0,N,Y,"Mon09:00-10:30(E7 - L20), Wed09:00-10:30(E7 - L20)",,
158,School of Undergraduate Studies,ALL,MSE307,01,Experiment in Materials Science & Engineering - Experiment in Materials Science & Engineering,"Jinsoo Kim, Sungwon Lee, Lee, Ju Hyuck, Lee, Jong-Soo, LEE, SHINBUHM",Advanced compulsory course,Course Study,Lab,Advanced,Major,Track,,Bachelor of Engineering,Grade,3.0,0.0,6.0,N,Y,"Wed16:30-19:30(E6 - 223), Fri13:00-16:00(E6 - 223)",,
159,School of Undergraduate Studies,ALL,MSE402,01,Phase Transformations - Phase Transformations,Jinsoo Kim,Advanced compulsory course,Course Study,Theory,Advanced,Major,Track,,Bachelor of Engineering,Grade,3.0,3.0,0.0,N,Y,"Wed10:30-12:00(E7 - 223), Fri10:30-12:00(E7 - 223)",,
160,School of Undergraduate Studies,ALL,MSE407,01,Mechanical Behavior  of Materials - Mechanical Behavior  of Materials,Younggyu Kim,Advanced compulsory course,Course Study,Theory,Advanced,Major,Track,,Bachelor of Engineering,Grade,3.0,3.0,0.0,N,N,"Mon13:30-15:00(E7 - L20), Wed13:30-15:00(E7 - L20)",,신규개설
161,School of Undergraduate Studies,ALL,PHY202a,01,Analytical MechanicsⅠ - Analytical MechanicsⅠ,"Lee, Jae Dong",Advanced compulsory course,Course Study,Theory,Advanced,Major,Track,,"Bachelor of Science, Bachelor of Engineering",Grade,3.0,3.0,0.0,N,Y,"Mon16:00-17:30(E7 - G02), Wed16:00-17:30(E7 - G02)",,
162,School of Undergraduate Studies,ALL,PHY205a,01,Modern Physics - Modern Physics,"Kim, Soyeun",Advanced compulsory course,Course Study,Theory,Advanced,Major,Track,,Bachelor of Science,Grade,3.0,3.0,0.0,N,Y,"Mon11:00-12:30(E7 - L22), Wed11:00-12:30(E7 - L22)",,
163,School of Undergraduate Studies,ALL,PHY302a,01,Advanced Physics Lab - Advanced Physics Lab,Unassigned,Advanced compulsory course,Course Study,Lab,Advanced,Major,Track,,Bachelor of Science,Grade,2.0,0.0,4.0,N,Y,"Mon13:00-15:00(E2 - 219), Wed13:00-15:00(E2 - 219)",,
164,School of Undergraduate Studies,ALL,PHY304,01,Quantum MechanicsⅠ - Quantum Mechanics I,"Park, Keeseong",Advanced compulsory course,Course Study,Theory,Advanced,Major,Track,,"Bachelor of Science, Bachelor of Engineering",Grade,3.0,3.0,0.0,N,Y,"Mon09:00-10:30(E7 - 223), Wed09:00-10:30(E7 - 223)","(PHY202a) 해석역학Ⅰ(이,공) 또는 (PHY203a) 전기역학 I(이)",
165,School of Undergraduate Studies,ALL,PHY306,01,Mathematical Physics - Mathematical Physics,"Choe, Seung Ho",Advanced compulsory course,Course Study,Theory,Advanced,Major,Track,,Bachelor of Science,Grade,3.0,3.0,0.0,N,Y,"Tue09:00-10:30(E7 - L31), Thu09:00-10:30(E7 - L31)",,
166,School of Undergraduate Studies,ALL,PHY308,01,ElectrodynamicsⅡ - Electrodynamics II,Chang-Hee Cho,Advanced compulsory course,Course Study,Theory,Advanced,Major,Track,,Bachelor of Science,Grade,3.0,3.0,0.0,N,Y,"Tue10:30-12:00(E7 - 229), Thu10:30-12:00(E7 - 229)",,
167,School of Undergraduate Studies,ALL,PHY401,01,Modern Optics - Modern Optics,"Lee, Ki Joon",Advanced compulsory course,Course Study,Theory,Advanced,Major,Track,,"Bachelor of Science, Bachelor of Engineering",Grade,3.0,3.0,0.0,N,Y,"Tue10:30-12:00(E7 - L21), Thu10:30-12:00(E7 - L21)",(PHY203a) 전기역학 I(이),
168,School of Undergraduate Studies,ALL,PHY403,01,Solid State Physics Ⅱ - Solid State Physics Ⅱ,"Hong, Jung Il ",Advanced compulsory course,Course Study,Theory,Advanced,Major,Track,,"Bachelor of Science, Bachelor of Engineering",Grade,3.0,3.0,0.0,N,Y,"Mon10:30-12:00(E2 - 324), Wed10:30-12:00(E2 - 324)","(PHY304) 양자역학Ⅰ(이,공)",
169,School of Undergraduate Studies,ALL,PHY405,01,Biophysics - Biophysics,"Lee, Jong Chan",Advanced compulsory course,Course Study,Theory,Advanced,Major,Track,,"Bachelor of Science, Bachelor of Engineering",Grade,3.0,3.0,0.0,N,Y,Fri13:00-16:00(E7 - L22),,
170,School of Undergraduate Studies,ALL,PHY406,01,Computational Physics - Computational Physics,"Kang, Joongoo",Advanced compulsory course,Course Study,Theory,Advanced,Major,Track,,Bachelor of Science,Grade,3.0,3.0,0.0,N,Y,"Tue14:30-16:00(E7 - 229), Thu14:30-16:00(E7 - 229)",,
171,School of Undergraduate Studies,ALL,PHY408,01,Atomic & Molecular Physics - Atomic & Molecular Physics,Unassigned,Advanced compulsory course,Course Study,Theory,Advanced,Major,Track,,"Bachelor of Science, Bachelor of Engineering",Grade,3.0,3.0,0.0,N,Y,"Tue13:00-14:30(E7 - G02), Thu13:00-14:30(E7 - G02)",,신규개설
